year,month,Product,UF,kg,US$_fob,km
2015,11,Soy Group,PR,214591911,81658663,0
2015,11,Soy Group,RS,550827498,207135487,0
2015,11,Soy Group,SC,79085088,30695340,0
2015,11,Soy Group,SP,37487198,14285039,0
2015,12,Soy Group,BA,92227556,37411389,0
2015,12,Soy Group,GO,14995068,5637188,0
2015,12,Soy Group,MS,131213053,50357387,0
2015,12,Soy Group,MT,122210081,47217647,0
2015,12,Soy Group,PR,247533649,94149507,0
2015,12,Soy Group,RS,56954895,20904724,0
2015,12,Soy Group,SC,57912865,22682409,0
2016,1,Soy Group,MS,31125570,11807814,0
2016,1,Soy Group,PR,236270378,88627879,0
2016,1,Soy Group,RS,59089502,20908567,0
2016,1,Soy Group,SC,65092000,25261064,0
2016,2,Soy Group,AM,29714231,10257947,0
2016,2,Soy Group,GO,84859235,28744094,0
2016,2,Soy Group,MG,31714135,11122850,0
2016,2,Soy Group,MS,113308604,40256981,0
2016,2,Soy Group,MT,552683611,192812826,0
2016,2,Soy Group,PR,544696078,187145753,0
2016,2,Soy Group,RO,32082107,11115041,0
2016,2,Soy Group,RS,106796362,37481195,0
2016,2,Soy Group,SC,91699973,32375098,0
2016,2,Soy Group,SP,255055447,89204289,0
2016,3,Soy Group,BA,106983442,38073143,0
2016,3,Soy Group,GO,877312156,299929420,0
2016,3,Soy Group,MA,92666965,33216621,0
2016,3,Soy Group,MG,332655503,114779873,0
2016,3,Soy Group,MS,917945427,317513144,0
2016,3,Soy Group,MT,3128656185,1097170790,0
2016,3,Soy Group,PA,19003111,6697039,0
2016,3,Soy Group,PR,1536700515,534735056,0
2016,3,Soy Group,RO,47842172,16568213,0
2016,3,Soy Group,RS,184069930,62998031,0
2016,3,Soy Group,SC,134295814,46850114,0
2016,3,Soy Group,SP,673487224,236513506,0
2016,3,Soy Group,TO,108134391,38118819,0
2016,4,Soy Group,BA,319234647,112692244,0
2016,4,Soy Group,GO,783587646,275938543,0
2016,4,Soy Group,MA,213812037,75515456,0
2016,4,Soy Group,MG,619946632,217141848,0
2016,4,Soy Group,MS,541113744,186661300,0
2016,4,Soy Group,MT,2958938958,1031758007,0
2016,4,Soy Group,PA,33903871,11818920,0
2016,4,Soy Group,PI,32913559,11814651,0
2016,4,Soy Group,PR,1639070831,572845782,0
2016,4,Soy Group,RO,148498102,50417215,0
2016,4,Soy Group,RS,1160658796,407415875,0
2016,4,Soy Group,SC,264782802,90858559,0
2016,4,Soy Group,SP,631866958,221309615,0
2016,4,Soy Group,TO,295541810,104147643,0
2016,5,Soy Group,BA,352879352,127584289,0
2016,5,Soy Group,GO,612007955,221234720,0
2016,5,Soy Group,MA,159704955,58949472,0
2016,5,Soy Group,MG,487692533,178386893,0
2016,5,Soy Group,MS,471562114,169336220,0
2016,5,Soy Group,MT,2888071502,1045184485,0
2016,5,Soy Group,PA,114332230,41332647,0
2016,5,Soy Group,PI,76186665,27986870,0
2016,5,Soy Group,PR,1176605601,423971481,0
